3623.59	-13501	-1191	13762	-174.95
3625.48	-13813	-1144	13793	-175.94
3627.15	-13692	-849	13673	-175.88
3628.61	-13619	-1341	13756	-173.24
3630.30	-13722	-1537	13768	-174.86
3631.84	-13556	-1046	13501	-175.70
3633.45	-13478	-959	13550	-175.96
3635.30	-13543	-1026	13652	-175.65
3636.79	-13737	-982	13712	-176.0
3638.50	-13514	-937	13554	-176.23
3640.15	-13657	-901	13729	-175.99
3641.61	-13619	-983	13507	-175.97
3643.66	-13396	-936	13562	-175.74
